"amco","naam","uri_naam","uri_amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio","gm_naam","cbscode","regio2"
10083,"Boxtel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Boxtel","http://www.gemeentegeschiedenis.nl/amco/10083","757",2758459,"oudsher","heden","Noord-Brabant","zuid","Boxtel",757,"zuidwest"
10085,"Gorssel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gorssel","http://www.gemeentegeschiedenis.nl/amco/10085","239",0,"oudsher","2005","Gelderland","oost","Gorssel",239,"zuidoost"
10086,"Langweer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Langweer","http://www.gemeentegeschiedenis.nl/amco/10086",NA,0,"oudsher","1816","Friesland","noord","Doniawerstal",67,"noordoost"
10086,"Doniawerstal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doniawerstal","http://www.gemeentegeschiedenis.nl/amco/10086","67",0,"1816","1984","Friesland","noord","Doniawerstal",67,"noordoost"
10087,"Stellendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stellendam","http://www.gemeentegeschiedenis.nl/amco/10087","1195",0,"1817","1966","Zuid-Holland","west","Stellendam",1195,"zuidwest"
10088,"Nieuwenhagen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwenhagen","http://www.gemeentegeschiedenis.nl/amco/10088","948",0,"oudsher","1982","Limburg","zuid","Nieuwenhagen",948,"zuidoost"
10089,"Hof van Delft","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hof_van_Delft","http://www.gemeentegeschiedenis.nl/amco/10089","1082",0,"1817","1921","Zuid-Holland","west","Hof van Delft",1082,"zuidwest"
10090,"Vliet","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vliet","http://www.gemeentegeschiedenis.nl/amco/10090","1388",0,"1817","1846","Zuid-Holland","west",NA,NA,NA
10091,"Nibbixwoud","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nibbixwoud","http://www.gemeentegeschiedenis.nl/amco/10091","427",0,"oudsher","1979","Noord-Holland","west","Nibbixwoud",427,"noordwest"
10092,"Nieuw-Beijerland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Beijerland","http://www.gemeentegeschiedenis.nl/amco/10092","566",0,"oudsher","1984","Zuid-Holland","west","Nieuw-Beijerland",566,"zuidwest"
10093,"Zwolle","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwolle","http://www.gemeentegeschiedenis.nl/amco/10093","193",2743476,"oudsher","heden","Overijssel","oost","Zwolle",193,"noordoost"
10094,"Nistelrode","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nistelrode","http://www.gemeentegeschiedenis.nl/amco/10094","819",0,"oudsher","1994","Noord-Brabant","zuid","Nistelrode",819,"zuidoost"
10095,"Ouderkerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ouderkerk","http://www.gemeentegeschiedenis.nl/amco/10095","644",0,"1985","heden","Zuid-Holland","west","Ouderkerk aan den IJssel",587,"zuidwest"
10095,"Ouderkerk aan den IJssel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ouderkerk_aan_den_IJssel","http://www.gemeentegeschiedenis.nl/amco/10095","587",2749015,"oudsher","1985","Zuid-Holland","west","Ouderkerk aan den IJssel",587,"zuidwest"
