my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
657,centrum,5,2,
658,amsterdamse buurt,1,1,nut door spaarzaamheid
659,burgwal,1,2,
660,rozenprieel,3,3,
661,amsterdamse buurt,1,1,ons doel en streven
662,kamp,3,3,
663,rozenprieel,3,3,
664,amsterdamse buurt,1,1,
665,bakenes,2,1,
666,burgwal,1,2,
667,amsterdamse buurt,1,1,
668,amsterdamse buurt,1,1,
669,amsterdamse buurt,1,1,ons doel en streven
670,amsterdamse buurt,1,1,
671,amsterdamse buurt,1,1,
672,rozenprieel,3,3,
673,amsterdamse buurt,1,1,
674,burgwal,1,1,
675,rozenprieel,3,3,
676,stationsbuurt,6,2,
677,burgwal,1,2,
678,burgwal,1,1,
679,frans hals buurt,6,2,
680,amsterdamse buurt,1,1,
681,amsterdamse buurt,1,1,
682,rozenprieel,3,3,
683,burgwal,1,1,
684,amsterdamse buurt,1,1,
685,rozenprieel,3,3,
686,rozenprieel,3,3,
687,rozenprieel,3,3,
688,centrum,5,1,
689,amsterdamse buurt,1,1,
690,amsterdamse buurt,1,1,
691,burgwal,1,1,
692,amsterdamse buurt,1,1,
693,amsterdamse buurt,1,1,
694,amsterdamse buurt,1,1,
695,rozenprieel,3,3,
696,amsterdamse buurt,1,1,
697,amsterdamse buurt,1,1,
698,amsterdamse buurt,1,1,
699,amsterdamse buurt,1,1,
700,rozenprieel,3,3,
701,rozenprieel,3,3,
702,burgwal,1,2,
703,burgwal,1,1,
704,amsterdamse buurt,1,1,
705,amsterdamse buurt,1,1,
706,rozenprieel,3,3,
707,amsterdamse buurt,1,1,
708,centrum,2,1,
709,burgwal,1,2,
710,amsterdamse buurt,1,1,
711,rozenprieel,3,3,
712,burgwal,1,1,
713,rozenprieel,3,3,
714,amsterdamse buurt,1,1,
715,rozenprieel,3,3,
716,burgwal,1,1,
717,burgwal,1,1,
718,vijfhoek,4,3,
719,leidse buurt,4,3,
720,rozenprieel,3,3,
721,centrum,5,2,
722,heiligland,3,3,
723,rozenprieel,3,3,
724,rozenprieel,3,3,
725,rozenprieel,3,3,
726,frans hals buurt,6,2,
727,bakenes,2,2,
728,amsterdamse buurt,1,1,
729,amsterdamse buurt,1,1,
730,leidse buurt,4,3,
731,schoten,0,0,
732,centrum,4,1,
733,rozenprieel,3,3,
734,rozenprieel,3,3,
735,zijlweg,5,2,
736,amsterdamse buurt,1,1,nut door spaarzaamheid
737,vijfhoek,4,3,
738,burgwal,1,1,
739,rozenprieel,3,3,
740,leidse buurt,4,3,
741,rozenprieel,3,3,
742,amsterdamse buurt,1,1,nut door spaarzaamheid
743,amsterdamse buurt,1,1,
744,stationsbuurt,6,2,
745,rozenprieel,3,3,
746,schoten,0,0,
747,leidse buurt,4,3,
748,rozenprieel,3,3,
749,vijfhoek,4,3,
750,rozenprieel,3,3,
751,burgwal,1,1,
752,centrum,5,2,
753,amsterdamse buurt,1,1,ons doel en streven
754,amsterdamse buurt,1,1,
755,amsterdamse buurt,1,1,
756,amsterdamse buurt,1,1,
757,rozenprieel,3,3,
758,burgwal,1,1,
759,frans hals buurt,6,2,
760,leidse buurt,4,3,
761,leidse buurt,4,3,
762,heiligland,3,3,
763,frans hals buurt,6,2,
764,rozenprieel,3,3,
765,amsterdamse buurt,1,1,
766,frans hals buurt,6,2,
767,burgwal,1,1,
768,rozenprieel,3,3,
769,rozenprieel,3,3,
770,heiligland,3,3,
771,amsterdamse buurt,1,1,
772,stationsbuurt,6,2,
773,kamp,3,3,
774,bakenes,2,2,
775,amsterdamse buurt,1,1,
776,amsterdamse buurt,1,1,
777,amsterdamse buurt,1,1,ons doel en streven
778,amsterdamse buurt,1,1,
779,amsterdamse buurt,1,1,
780,amsterdamse buurt,1,1,
781,vijfhoek,4,1,
782,amsterdamse buurt,1,1,
783,rozenprieel,3,3,
784,amsterdamse buurt,1,1,
785,amsterdamse buurt,1,1,
786,amsterdamse buurt,1,1,
787,burgwal,1,1,
788,amsterdamse buurt,1,1,
789,amsterdamse buurt,1,1,
790,rozenprieel,3,3,
791,amsterdamse buurt,1,1,
792,amsterdamse buurt,1,1,
793,amsterdamse buurt,1,1,
794,amsterdamse buurt,1,1,
795,bakenes,2,1,
796,amsterdamse buurt,1,1,
797,amsterdamse buurt,1,1,
798,rozenprieel,3,3,
799,amsterdamse buurt,1,1,
800,amsterdamse buurt,1,1,nut door spaarzaamheid
801,amsterdamse buurt,1,1,
802,amsterdamse buurt,1,1,
803,rozenprieel,3,3,
804,rozenprieel,3,3,
805,vijfhoek,4,1,
806,bakenes,2,1,
807,centrum,5,2,
808,rozenprieel,3,3,
809,rozenprieel,3,3,
810,heiligland,3,3,
811,amsterdamse buurt,1,1,
812,amsterdamse buurt,1,1,
813,amsterdamse buurt,1,1,
814,amsterdamse buurt,1,1,
815,amsterdamse buurt,1,1,
816,rozenprieel,3,3,
817,amsterdamse buurt,1,1,nut door spaarzaamheid
818,burgwal,1,1,
819,rozenprieel,3,3,
820,rozenprieel,3,3,
821,frans hals buurt,6,2,
