my_medewerkersnummer,uri_naam
314,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tilburg
315,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenhage
316,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alkemade
317,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaandam
318,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
319,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zeist
320,http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelburg_Ze
321,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
322,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
323,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
324,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wissenkerke_NBev
325,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
326,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemstede
327,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
328,http://www.gemeentegeschiedenis.nl/gemeentenaam/Krimpen_aan_den_IJssel
329,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
330,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch
331,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wormer
332,Frankrijk
333,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch
334,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwijndrecht
335,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
336,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
337,Duitsland
338,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
339,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
340,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
341,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwer-Amstel
342,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaandam
343,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
344,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
345,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosthuizen
346,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
347,http://www.gemeentegeschiedenis.nl/gemeentenaam/Overschie
348,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rotterdam
349,http://www.gemeentegeschiedenis.nl/gemeentenaam/Goes
350,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmermeer
