naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Oosthuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosthuizen,http://www.gemeentegeschiedenis.nl/amco/11121,11121,430,0,oudsher,1970,Noord-Holland
Oostzaan,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oostzaan,http://www.gemeentegeschiedenis.nl/amco/11303,11303,431,2749319,oudsher,heden,Noord-Holland
Opmeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Opmeer,http://www.gemeentegeschiedenis.nl/amco/10609,10609,432,2749285,1817,heden,Noord-Holland
Opperdoes,http://www.gemeentegeschiedenis.nl/gemeentenaam/Opperdoes,http://www.gemeentegeschiedenis.nl/amco/10523,10523,433,0,1817,1979,Noord-Holland
Oterleek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oterleek,http://www.gemeentegeschiedenis.nl/amco/10133,10133,434,0,1817,1970,Noord-Holland
Oudendijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudendijk,http://www.gemeentegeschiedenis.nl/amco/11090,11090,435,0,1817,1979,Noord-Holland
Oude Niedorp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_Niedorp,http://www.gemeentegeschiedenis.nl/amco/10896,10896,436,0,oudsher,1970,Noord-Holland
Ouder-Amstel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ouder-Amstel,http://www.gemeentegeschiedenis.nl/amco/10998,10998,437,2749027,oudsher,heden,Noord-Holland
Oudkarspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudkarspel,http://www.gemeentegeschiedenis.nl/amco/11051,11051,1146,0,oudsher,1941,Noord-Holland
Oudorp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudorp,http://www.gemeentegeschiedenis.nl/amco/10363,10363,438,0,1817,1972,Noord-Holland
Petten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Petten,http://www.gemeentegeschiedenis.nl/amco/11057,11057,1153,0,1817,1929,Noord-Holland
Purmerend,http://www.gemeentegeschiedenis.nl/gemeentenaam/Purmerend,http://www.gemeentegeschiedenis.nl/amco/11066,11066,439,2748412,oudsher,heden,Noord-Holland
Ransdorp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ransdorp,http://www.gemeentegeschiedenis.nl/amco/10789,10789,1157,0,oudsher,1921,Noord-Holland
Rietwijkeroord,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rietwijkeroord,http://www.gemeentegeschiedenis.nl/amco/10473,10473,1361,0,1817,1854,Noord-Holland
De Rijp,http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Rijp,http://www.gemeentegeschiedenis.nl/amco/11417,11417,440,0,oudsher,1970,Noord-Holland
Schagen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schagen,http://www.gemeentegeschiedenis.nl/amco/10511,10511,441,2747719,oudsher,heden,Noord-Holland
Schardam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schardam,http://www.gemeentegeschiedenis.nl/amco/10414,10414,1366,0,1817,1854,Noord-Holland
Scharwoude [bij Hoorn],http://www.gemeentegeschiedenis.nl/gemeentenaam/Scharwoude_bij_Hoorn,http://www.gemeentegeschiedenis.nl/amco/11254,11254,1367,0,1817,1854,Noord-Holland
Scharwoude [Langendijk],http://www.gemeentegeschiedenis.nl/gemeentenaam/Scharwoude_Langendijk,http://www.gemeentegeschiedenis.nl/amco/10159,10159,,0,oudsher,1817,Noord-Holland
Schellingwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schellingwoude,http://www.gemeentegeschiedenis.nl/amco/10651,10651,1368,0,1817,1857,Noord-Holland
Schellinkhout,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schellinkhout,http://www.gemeentegeschiedenis.nl/amco/10772,10772,442,0,oudsher,1970,Noord-Holland
Schermer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schermer,http://www.gemeentegeschiedenis.nl/amco/10308,10308,458,2747618,1970,heden,Noord-Holland
Schermerhorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schermerhorn,http://www.gemeentegeschiedenis.nl/amco/10308,10308,443,0,oudsher,1970,Noord-Holland
Schoorl,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoorl,http://www.gemeentegeschiedenis.nl/amco/10627,10627,444,0,oudsher,2001,Noord-Holland
Schoten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoten,http://www.gemeentegeschiedenis.nl/amco/10382,10382,1173,0,1817,1927,Noord-Holland
